phase,task,model_version,model,format,camera,gt_camera,metric_median,metric_p95,metric_mean,precision,recall,f1,n_faux_positifs,far_per_hour,fps,latency_mean_ms,alerts_duplicated,global_id_switches,source_csv
phase3,trd,V2,rtdetr-l,pt,cam_07,cam_07_20260506_131002,6.32,8.084,6.32,1.0,0.2857,0.4444,0,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V2,yolo11n,fp32_engine,cam_02,cam_02_20260506_131002,,,,0.0,0.0,0.0,5,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V2,yolo11n,fp32_engine,cam_03,cam_03_20260506_131002,0.36,2.84,0.6,0.75,0.8571,0.8,2,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V2,yolo11n,fp32_engine,cam_05,cam_05_20260506_131002,-0.6,0.84,-0.4,0.75,0.4286,0.5455,1,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V2,yolo11n,fp32_engine,cam_07,cam_07_20260506_131002,1.34,4.058,1.34,1.0,0.2857,0.4444,0,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V2,yolo11n,pt,cam_02,cam_02_20260506_131002,4.48,4.48,4.48,0.2,0.1667,0.1818,4,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V2,yolo11n,pt,cam_03,cam_03_20260506_131002,-0.18,1.97,0.053,0.6667,0.8571,0.75,3,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V2,yolo11n,pt,cam_05,cam_05_20260506_131002,-0.4,0.86,-0.333,0.75,0.4286,0.5455,1,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V2,yolo11n,pt,cam_07,cam_07_20260506_131002,-4.4,-4.4,-4.4,0.5,0.1429,0.2222,1,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V2,yolo11s,fp32_engine,cam_02,cam_02_20260506_131002,4.08,4.08,4.08,0.3333,0.1667,0.2222,2,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V2,yolo11s,fp32_engine,cam_03,cam_03_20260506_131002,0.38,0.742,0.28,0.6667,0.5714,0.6154,2,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V2,yolo11s,fp32_engine,cam_05,cam_05_20260506_131002,-0.6,-0.528,-0.787,0.4286,0.4286,0.4286,4,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V2,yolo11s,fp32_engine,cam_07,cam_07_20260506_131002,1.34,4.058,1.34,1.0,0.2857,0.4444,0,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V2,yolo11s,pt,cam_02,cam_02_20260506_131002,,,,0.0,0.0,0.0,3,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V2,yolo11s,pt,cam_03,cam_03_20260506_131002,-0.12,0.562,-0.06,0.5,0.5714,0.5333,4,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V2,yolo11s,pt,cam_05,cam_05_20260506_131002,-0.76,-0.616,-0.867,0.6,0.4286,0.5,2,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V2,yolo11s,pt,cam_07,cam_07_20260506_131002,1.34,4.058,1.34,1.0,0.2857,0.4444,0,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V2,yolo26n,fp32_engine,cam_02,cam_02_20260506_131002,-0.56,-0.56,-0.56,0.2,0.1667,0.1818,4,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V2,yolo26n,fp32_engine,cam_03,cam_03_20260506_131002,-0.4,0.068,-0.24,1.0,0.4286,0.6,0,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V2,yolo26n,fp32_engine,cam_05,cam_05_20260506_131002,-0.68,-0.158,-0.77,0.6667,0.5714,0.6154,2,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V2,yolo26n,fp32_engine,cam_07,cam_07_20260506_131002,1.3,4.054,1.3,1.0,0.2857,0.4444,0,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V2,yolo26n,pt,cam_02,cam_02_20260506_131002,1.82,3.962,1.82,0.6667,0.3333,0.4444,1,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V2,yolo26n,pt,cam_03,cam_03_20260506_131002,0.16,2.628,0.623,0.4375,1.0,0.6087,9,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V2,yolo26n,pt,cam_05,cam_05_20260506_131002,-0.86,-0.626,-0.86,0.5,0.2857,0.3636,2,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V2,yolo26n,pt,cam_07,cam_07_20260506_131002,1.36,4.06,1.36,0.5,0.2857,0.3636,2,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V2,yolov8n,fp32_engine,cam_02,cam_02_20260506_131002,1.82,3.962,1.82,0.3333,0.3333,0.3333,4,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V2,yolov8n,fp32_engine,cam_03,cam_03_20260506_131002,0.08,0.44,0.053,0.6,0.4286,0.5,2,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V2,yolov8n,fp32_engine,cam_05,cam_05_20260506_131002,-0.92,0.726,-0.68,0.5714,0.5714,0.5714,3,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V2,yolov8n,fp32_engine,cam_07,cam_07_20260506_131002,1.3,4.054,1.3,1.0,0.2857,0.4444,0,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V2,yolov8n,pt,cam_02,cam_02_20260506_131002,,,,0.0,0.0,0.0,5,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V2,yolov8n,pt,cam_03,cam_03_20260506_131002,-0.2,0.66,-0.153,0.6667,0.8571,0.75,3,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V2,yolov8n,pt,cam_05,cam_05_20260506_131002,-0.6,0.84,-0.267,0.5,0.4286,0.4615,3,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V2,yolov8n,pt,cam_07,cam_07_20260506_131002,4.36,4.36,4.36,1.0,0.1429,0.25,0,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V2,yolov8s,fp32_engine,cam_02,cam_02_20260506_131002,4.16,4.268,0.507,0.5,0.5,0.5,3,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V2,yolov8s,fp32_engine,cam_03,cam_03_20260506_131002,-0.14,1.916,0.32,0.8,0.5714,0.6667,1,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V2,yolov8s,fp32_engine,cam_05,cam_05_20260506_131002,-0.68,-0.284,-0.853,0.6,0.4286,0.5,2,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V2,yolov8s,fp32_engine,cam_07,cam_07_20260506_131002,0.9,3.222,0.9,0.6667,0.2857,0.4,1,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V2,yolov8s,pt,cam_02,cam_02_20260506_131002,-1.38,3.606,-1.38,0.5,0.3333,0.4,2,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V2,yolov8s,pt,cam_03,cam_03_20260506_131002,0.04,0.656,-0.126,0.6364,1.0,0.7778,4,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V2,yolov8s,pt,cam_05,cam_05_20260506_131002,-1.64,-1.64,-1.64,0.5,0.1429,0.2222,1,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V2,yolov8s,pt,cam_07,cam_07_20260506_131002,4.36,4.36,4.36,1.0,0.1429,0.25,0,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V3,rtdetr-l,pt,cam_02,cam_02_20260506_131002,,,,0.0,0.0,0.0,2,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V3,rtdetr-l,pt,cam_03,cam_03_20260506_131002,-0.04,0.722,0.08,0.5,0.5714,0.5333,4,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V3,rtdetr-l,pt,cam_05,cam_05_20260506_131002,-0.78,0.794,-0.41,0.5714,0.5714,0.5714,3,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V3,rtdetr-l,pt,cam_07,cam_07_20260506_131002,1.34,4.058,1.34,1.0,0.2857,0.4444,0,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V3,yolo11s,fp32_engine,cam_02,cam_02_20260506_131002,-0.92,-0.92,-0.92,0.25,0.1667,0.2,3,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V3,yolo11s,fp32_engine,cam_03,cam_03_20260506_131002,0.44,0.908,0.56,0.75,0.4286,0.5455,1,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V3,yolo11s,fp32_engine,cam_05,cam_05_20260506_131002,-0.92,0.832,-0.6,0.625,0.7143,0.6667,3,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V3,yolo11s,fp32_engine,cam_07,cam_07_20260506_131002,1.34,4.022,1.34,1.0,0.2857,0.4444,0,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V3,yolo11s,pt,cam_02,cam_02_20260506_131002,2.16,4.342,2.03,0.5,0.6667,0.5714,4,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V3,yolo11s,pt,cam_03,cam_03_20260506_131002,0.16,0.268,0.16,0.375,0.4286,0.4,5,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V3,yolo11s,pt,cam_05,cam_05_20260506_131002,-0.14,0.922,-0.14,0.4,0.2857,0.3333,3,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V3,yolo11s,pt,cam_07,cam_07_20260506_131002,1.34,4.058,1.34,1.0,0.2857,0.4444,0,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V3,yolov8n,fp32_engine,cam_02,cam_02_20260506_131002,0.36,1.404,0.453,0.3,0.5,0.375,7,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V3,yolov8n,fp32_engine,cam_03,cam_03_20260506_131002,0.1,0.8,0.26,0.4444,0.5714,0.5,5,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V3,yolov8n,fp32_engine,cam_05,cam_05_20260506_131002,-0.6,0.912,-0.24,0.6,0.4286,0.5,2,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V3,yolov8n,fp32_engine,cam_07,cam_07_20260506_131002,0.52,3.92,-0.416,0.7143,0.7143,0.7143,2,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V3,yolov8n,pt,cam_02,cam_02_20260506_131002,1.7,3.662,1.7,0.4,0.3333,0.3636,3,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V3,yolov8n,pt,cam_03,cam_03_20260506_131002,0.48,3.164,1.05,0.4444,0.5714,0.5,5,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V3,yolov8n,pt,cam_05,cam_05_20260506_131002,-0.02,0.624,-0.13,0.4444,0.5714,0.5,5,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V3,yolov8n,pt,cam_07,cam_07_20260506_131002,0.88,4.014,1.11,0.8,0.5714,0.6667,1,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V3,yolov8s,fp32_engine,cam_02,cam_02_20260506_131002,-0.24,1.704,0.453,0.375,0.5,0.4286,5,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V3,yolov8s,fp32_engine,cam_03,cam_03_20260506_131002,0.14,2.12,-0.987,0.5455,0.8571,0.6667,5,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V3,yolov8s,fp32_engine,cam_05,cam_05_20260506_131002,-0.16,0.956,-0.24,0.75,0.4286,0.5455,1,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V3,yolov8s,fp32_engine,cam_07,cam_07_20260506_131002,0.28,3.916,1.2,0.75,0.4286,0.5455,1,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V3,yolov8s,pt,cam_02,cam_02_20260506_131002,-0.36,2.772,-1.22,0.4,0.6667,0.5,6,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V3,yolov8s,pt,cam_03,cam_03_20260506_131002,0.12,0.776,0.112,0.5,0.7143,0.5882,5,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V3,yolov8s,pt,cam_05,cam_05_20260506_131002,0.08,1.816,0.272,0.5,0.7143,0.5882,5,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V3,yolov8s,pt,cam_07,cam_07_20260506_131002,4.32,4.32,4.32,1.0,0.1429,0.25,0,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
