phase,task,model_version,model,format,camera,gt_camera,metric_median,metric_p95,metric_mean,precision,recall,f1,n_faux_positifs,far_per_hour,fps,latency_mean_ms,alerts_duplicated,global_id_switches,source_csv
phase2,tad,,yolo11s,fp32_engine,cam_02,,5.36,100.16,26.611,0.2444,0.7857,0.3729,34,204.5,99.2,10.1,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\tad\V3_fp32_engine\cam_02\yolo11s\tad_cam_02_20260506_131002_Camera_2_2.3_20260506_131002_engine.csv
phase2,tad,,yolov8n,fp32_engine,cam_02,,2.32,201.804,43.286,0.2333,0.5,0.3182,23,138.34,122.7,8.2,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\tad\V3_fp32_engine\cam_02\yolov8n\tad_cam_02_20260506_131002_Camera_2_2.3_20260506_131002_engine.csv
phase2,tad,,yolov8s,fp32_engine,cam_02,,5.74,244.048,57.344,0.3333,0.7143,0.4545,20,120.3,112.2,8.9,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\tad\V3_fp32_engine\cam_02\yolov8s\tad_cam_02_20260506_131002_Camera_2_2.3_20260506_131002_engine.csv
phase2,tad,,yolo11s,fp32_engine,cam_03,,0.64,2.472,1.0,0.625,0.5556,0.5882,3,18.04,111.1,9.0,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\tad\V3_fp32_engine\cam_03\yolo11s\tad_cam_03_20260506_131002_Camera_3_2.4_20260506_131002_engine.csv
phase2,tad,,yolov8n,fp32_engine,cam_03,,1.16,94.8,24.616,0.5,0.5556,0.5263,5,30.07,125.7,8.0,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\tad\V3_fp32_engine\cam_03\yolov8n\tad_cam_03_20260506_131002_Camera_3_2.4_20260506_131002_engine.csv
phase2,tad,,yolov8s,fp32_engine,cam_03,,1.34,3.58,1.627,0.75,0.6667,0.7059,2,12.03,114.7,8.7,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\tad\V3_fp32_engine\cam_03\yolov8s\tad_cam_03_20260506_131002_Camera_3_2.4_20260506_131002_engine.csv
phase2,tad,,yolo11s,fp32_engine,cam_05,,1.66,52.796,12.833,0.3871,0.8571,0.5333,19,114.28,108.7,9.2,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\tad\V3_fp32_engine\cam_05\yolo11s\tad_cam_05_20260506_131002_Camera_5_2.6_20260506_131002_engine.csv
phase2,tad,,yolov8n,fp32_engine,cam_05,,1.66,119.83,28.1,0.3529,0.8571,0.5,22,132.33,122.8,8.1,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\tad\V3_fp32_engine\cam_05\yolov8n\tad_cam_05_20260506_131002_Camera_5_2.6_20260506_131002_engine.csv
phase2,tad,,yolov8s,fp32_engine,cam_05,,3.2,74.376,18.123,0.4643,0.9286,0.619,15,90.22,112.7,8.9,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\tad\V3_fp32_engine\cam_05\yolov8s\tad_cam_05_20260506_131002_Camera_5_2.6_20260506_131002_engine.csv
phase2,tad,,yolo11s,fp32_engine,cam_07,,3.56,338.75,65.364,0.303,0.8333,0.4444,23,138.34,101.4,9.9,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\tad\V3_fp32_engine\cam_07\yolo11s\tad_cam_07_20260506_131002_Camera_7_2.11_20260506_131002_engine.csv
phase2,tad,,yolov8n,fp32_engine,cam_07,,8.74,166.592,36.844,0.3704,0.8333,0.5128,17,102.25,121.2,8.2,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\tad\V3_fp32_engine\cam_07\yolov8n\tad_cam_07_20260506_131002_Camera_7_2.11_20260506_131002_engine.csv
phase2,tad,,yolov8s,fp32_engine,cam_07,,5.16,45.816,12.08,0.2308,0.75,0.3529,30,180.45,110.0,9.1,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\tad\V3_fp32_engine\cam_07\yolov8s\tad_cam_07_20260506_131002_Camera_7_2.11_20260506_131002_engine.csv
phase2,tad,,rtdetr-l,pt,cam_02,,1.24,112.11,19.091,0.359,1.0,0.5283,25,150.37,25.2,39.7,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\tad\V3_pt\cam_02\rtdetr-l\tad_cam_02_20260506_131002_Camera_2_2.3_20260506_131002_pt.csv
phase2,tad,,yolo11s,pt,cam_02,,5.36,86.82,22.593,0.25,0.7857,0.3793,33,198.49,59.0,16.9,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\tad\V3_pt\cam_02\yolo11s\tad_cam_02_20260506_131002_Camera_2_2.3_20260506_131002_pt.csv
phase2,tad,,yolov8n,pt,cam_02,,3.52,218.664,47.143,0.28,0.5,0.359,18,108.27,72.4,13.8,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\tad\V3_pt\cam_02\yolov8n\tad_cam_02_20260506_131002_Camera_2_2.3_20260506_131002_pt.csv
phase2,tad,,yolov8s,pt,cam_02,,5.74,136.482,37.264,0.3333,0.7143,0.4545,20,120.3,74.3,13.5,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\tad\V3_pt\cam_02\yolov8s\tad_cam_02_20260506_131002_Camera_2_2.3_20260506_131002_pt.csv
phase2,tad,,rtdetr-l,pt,cam_03,,0.66,24.94,7.91,0.32,0.8889,0.4706,17,102.25,25.8,38.8,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\tad\V3_pt\cam_03\rtdetr-l\tad_cam_03_20260506_131002_Camera_3_2.4_20260506_131002_pt.csv
phase2,tad,,yolo11s,pt,cam_03,,0.64,2.432,1.08,0.5,0.5556,0.5263,5,30.07,60.6,16.5,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\tad\V3_pt\cam_03\yolo11s\tad_cam_03_20260506_131002_Camera_3_2.4_20260506_131002_pt.csv
phase2,tad,,yolov8n,pt,cam_03,,1.04,92.744,23.776,0.5,0.5556,0.5263,5,30.07,73.3,13.6,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\tad\V3_pt\cam_03\yolov8n\tad_cam_03_20260506_131002_Camera_3_2.4_20260506_131002_pt.csv
